count,flagged,poster,post_text,url,image_alt
13,,NPR,Record highs are expected with temperatures projected to climb to more than 100 degrees.,https://www.npr.org/2021/06/26/1010610240/record-heat-wave-set-to-scorch-pacific-northwest-to-southern-california,Record Heat Wave Set To Scorch Pacific Northwest To Southern California
13,,,"The American Robin is one of too many bird species that need your protection from habitat loss and climate change. As global temperatures continue to rise, the Robin could vanish from 23% of its summer habitat. Start your monthly donation today and take acti … See More",https://act.audubon.org/a/donate-monthly-social,
8,,NPR,These photos show the dramatic effect that record-breaking temperatures are having on the Pacific Northwest.,https://www.npr.org/2021/06/29/1011269025/photos-the-pacific-northwest-heatwave-is-melting-power-cables-and-buckling-roads,PHOTOS: The Record-Breaking Heat Wave That's Scorching The Pacific Northwest
6,,Washington Post,The forecast for one of the most extreme heat waves on record for the Pacific Northwest has grown even more ominous.,https://www.washingtonpost.com/weather/2021/06/25/pacific-northwest-heat-wave-seattle-portland/,"Seattle, Portland and Spokane brace for ‘unprecedented’ heat wave"
6,,NPR,"Record-high temperatures are still hitting the Pacific Northwest, with Portland reaching 112 degrees Sunday. And the lack of AC in many homes could make an already brutal heat wave even more dangerous.",https://www.npr.org/2021/06/28/1010923130/the-pacific-northwest-has-limited-a-c-making-the-heat-wave-more-dangerous,"The Pacific Northwest Has Limited A/C, Making The Heat Wave More Dangerous"
6,,CNET,Siberia in Russia is baking and satellites are bearing witness to a brutal heat wave above the Arctic Circle.,https://www.cnet.com/news/surface-temperatures-in-siberia-heat-up-to-a-mind-boggling-118-degrees/,Satellites see sweltering Arctic surface temperatures as Siberia heats up to 118 degrees
5,,NPR,"Scientists caution that as climate change warms the planet and sand fly populations move northward, more and more Americans could be exposed to disfiguring varieties of the flesh-eating Leishmania parasite.",https://www.npr.org/sections/health-shots/2021/06/25/1009885640/flesh-eating-parasites-may-be-expanding-their-range-as-climate-heats-up,Flesh-Eating Parasites May Be Expanding Their Range As Climate Heats Up
5,,Gizmodo,We’re talking about a heat wave for the ages that could absolutely destroy all-time records from Washington to California as well as parts of Canada.,https://gizmodo.com/a-record-breaking-and-dangerous-heat-wave-is-about-to-h-1847157954,The West Coast Is About to Be Scary Hot
4,,Washington Post,"Sizzling temperatures are baking the West, with readings some 15 to 30 degrees or more above normal bringing dangerous conditions and highs above 100 degrees to 40 million people.",https://www.washingtonpost.com/weather/2021/06/16/heat-wave-west-record-temperatures/,"Extreme heat bakes West, toppling longstanding records"
4,,Axios,A heat wave is bringing unprecedented high temperatures to the Pacific Northwest.,https://www.axios.com/pacific-northwest-heat-wave-all-time-records-17b55cac-7049-4583-86f0-4296093d5691.html,"Seattle, Portland gearing up for hottest weather ever recorded"
4,,The New York Times,"The Southwest, the driest region in the U.S., is expecting another dangerous fire season. Its increasingly dry summers run counter to a basic idea about climate change — that warming increases humidity because hotter air holds more moisture. New York Times readers shared their experiences from the region. Read more: https://nyti.ms/3j8QIC4",https://www.nytimes.com/2021/06/22/climate/climate-change-southwest-humidity.html,"May be an image of text that says 'WHAT YOU SAID ""I grew up in Phoenix and eft 20 years ago. I am a native and I saw the writing on the wall then. What blows my mind is the continuous building out creating more concrete and asphalt jungles, creating more heat."" Michael Bering Sea'"
4,,CNET,That's temperatures of 118 degrees Farenheit (or 48 degrees Clesius) above the Artic Circle,https://www.cnet.com/news/surface-temperatures-in-siberia-heat-up-to-a-mind-boggling-118-degrees/,🔥 🔥 Surface temperatures in Siberia heat up to a mind-boggling 118 degrees
